2026-02-03 11:15:01,311 - VALO360 - DEBUG - 找到指令檔: D:\((Python TOOL\指令工具-20250428T020034Z-001\360-command-tool\Command_TABLE\command.txt
2026-02-03 11:15:01,517 - VALO360 - INFO - 成功載入 94 個指令
2026-02-03 11:15:01,563 - VALO360 - INFO - main.py 啟動
2026-02-03 11:15:01,563 - VALO360 - INFO - 指令通主程式啟動
2026-02-03 11:15:01,564 - VALO360 - INFO - 程式啟動時檢查安全簽名...
2026-02-03 11:15:01,567 - VALO360 - INFO - 安全簽名驗證通過，開始創建GUI...
2026-02-03 11:15:01,568 - VALO360 - DEBUG - ConfigManager: 自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - ConfigManager自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - 未找到關鍵字高亮設定文件，使用空設定
2026-02-03 11:15:01,804 - VALO360 - DEBUG - 配置已備份至: backup\setup_backup_20260203_111501.json
2026-02-03 11:15:01,813 - VALO360 - DEBUG - 已刪除舊備份: backup\setup_backup_20260108_102814.json
2026-02-03 11:15:01,814 - VALO360 - DEBUG - 配置載入成功
2026-02-03 11:15:01,816 - VALO360 - INFO - 統一設定管理器已初始化
2026-02-03 11:22:54,631 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:57,652 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:00,677 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:03,689 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:06,701 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:09,718 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:12,742 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:15,759 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:18,785 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:21,806 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:24,813 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:27,835 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:30,852 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:33,870 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:36,881 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:39,891 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:42,902 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:45,921 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:48,940 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:51,951 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:54,961 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:23:57,968 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:00,985 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:04,011 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:07,033 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:10,049 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:13,069 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:24:16,088 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
